Provincia;"2012";
Albacete;"301512.0";
Alicante;"3426912.0";
Almería;"1015063.0";
Álava;"345703.0";
Asturias;"1338278.0";
Ávila;"258672.0";
Badajoz;"617445.0";
Islas Baleares;"8461855.0";
Barcelona;"9855388.0";
Bizkaia;"1180664.0";
Burgos;"700803.0";
Cáceres;"578829.0";
Cádiz;"2090144.0";
Cantabria;"1030194.0";
Castellón;"927661.0";
Ciudad Real;"303939.0";
Córdoba;"982109.0";
La Coruña;"1431674.0";
Cuenca;"279631.0";
Gipuzkoa;"905291.0";
Girona;"3193853.0";
Granada;"2221899.0";
Guadalajara;"216233.0";
Huelva;"944443.0";
Huesca;"614271.0";
Jaén;"452470.0";
León;"651114.0";
Lleida;"772974.0";
Lugo;"502756.0";
Madrid;"9833342.0";
Málaga;"4323141.0";
Murcia;"1010538.0";
Navarra;"796053.0";
Ourense;"271398.0";
Palencia;"177275.0";
Las Palmas;"4349382.0";
Pontevedra;"1010518.0";
La Rioja;"501954.0";
Salamanca;"828898.0";
Santa Cruz de Tenerife;"3330253.0";
Segovia;"361289.0";
Sevilla;"2422319.0";
Soria;"182353.0";
Tarragona;"2414726.0";
Teruel;"316944.0";
Toledo;"663120.0";
Valencia;"2579179.0";
Valladolid;"551800.0";
Zamora;"214912.0";
Zaragoza;"1097562.0";
Ceuta;"73980.0";
Melilla;"49763.0";